name,unfavorited,createdAt,updatedAt
My Ger-Fr Vocabulary vol.1,True,2020-02-21 11:08:59,2020-02-24 19:01:56
My Ger-Fr Vocab,False,2020-02-22 11:29:20,2020-02-22 11:29:20
My Ger-Fr Phrases,True,2020-02-21 11:47:20,2020-02-23 09:25:50
Duolingo French Course,False,2020-02-17 17:18:56,2020-02-17 17:18:56
ASL Family,False,2019-06-17 12:32:30,2019-06-17 12:32:30
IU: Vocab. 3,True,2019-05-12 10:33:35,2019-05-13 18:14:18
German irregular verbs II,True,2019-04-27 09:18:38,2019-04-28 10:47:32
German irregular verbs,True,2019-04-25 18:01:13,2019-04-25 18:14:16
Ger.: irregular verbs,False,2019-04-25 15:34:49,2019-04-25 15:34:49
UdGs,True,2019-04-22 17:15:14,2019-04-23 18:10:00
Verben mit Präpositionen,True,2019-04-19 09:02:08,2019-04-19 09:32:52
IU: Vocab. 02,True,2019-03-17 11:36:56,2019-03-17 11:45:41
IU: Phrases 01,True,2019-02-03 13:24:02,2019-02-03 14:54:04
IU: Vocab. 01,True,2019-02-03 13:02:50,2019-02-03 14:42:38
German Business 2,True,2019-02-02 14:13:10,2019-02-03 09:53:25
German Adverbs 4,True,2019-02-02 14:15:18,2019-02-03 09:53:04
German Verbs: Present 4,True,2019-02-02 14:15:52,2019-02-03 09:53:01
My Eng-Ger Duolingo collection,False,2019-02-03 09:50:22,2019-02-03 09:50:22
My Eng-Ger Vocab,False,2019-02-03 09:48:47,2019-02-03 09:48:47
German Politics 2,True,2019-02-02 14:16:21,2019-02-03 09:52:58
German Politics 1,True,2019-02-02 14:14:30,2019-02-03 09:53:23
German Body 2,True,2019-02-02 14:12:36,2019-02-03 09:53:26
Eng-Ger Vocab.: GeD.1,True,2019-02-02 13:58:37,2019-02-03 13:24:38
German Spiritual,True,2019-02-01 15:29:30,2019-02-03 09:53:34
German Abstract Objects 1,True,2019-01-30 19:05:33,2019-02-03 09:54:05
German Abstract Objects 4,True,2019-01-24 20:28:50,2019-02-03 09:54:07
Geschichte eines Deutschen,False,2019-01-21 21:01:17,2019-01-21 21:01:17
German Abstract Objects 3,True,2019-01-19 12:54:05,2019-02-03 09:54:09
My Eng-Ger Vocabulary 4,True,2019-01-17 20:11:12,2019-02-03 09:54:12
German Arts,True,2019-01-17 07:09:22,2019-02-03 09:54:14
German Abstract Objects 2,True,2019-01-17 07:09:01,2019-02-03 09:54:16
"128 ways to avoid ""very""",False,2019-01-16 08:24:30,2019-01-16 08:24:30
German Communication 2,True,2019-01-15 21:06:20,2019-02-03 09:54:18
German Verbs Reflexive,True,2019-01-15 21:06:12,2019-01-16 20:31:20
German Adverbs 2,True,2019-01-14 17:43:51,2019-02-03 09:54:20
German Feelings,True,2019-01-13 11:36:26,2019-02-03 09:54:22
My Eng-Ger Vocabulary 3,True,2019-01-12 16:52:46,2019-02-03 09:54:24
My Eng-Ger Vocabulary 2,True,2019-01-12 11:10:55,2019-02-03 09:54:27
My Eng-Ger Vocabulary 1,True,2019-01-11 12:31:54,2019-02-03 09:54:29
Duolingo German Course,False,2018-05-05 10:48:09,2018-05-05 10:48:09
