leaderboard,timestamp,tier,score
leagues,2020-02-17T17:00:20Z,0,1808.0
leagues,2020-02-24T17:07:21Z,1,694.0
leagues,2020-03-02T14:41:45Z,2,545.0
leagues,2020-03-09T18:29:25Z,2,381.0
leagues,2020-03-16T21:47:45Z,3,441.0
leagues,2020-03-23T21:02:00Z,4,411.0
leagues,2020-03-30T18:29:14Z,5,395.0
leagues,2020-04-06T10:13:13Z,5,355.0
leagues,2020-04-13T19:47:13Z,5,264.0
leagues,2020-04-20T20:13:46Z,5,241.0
leagues,2020-04-27T19:41:51Z,5,164.0
leagues,2020-05-04T10:00:29Z,5,99.0
leagues,2020-05-11T18:53:43Z,4,107.0
leagues,2020-05-18T15:22:44Z,4,127.0
leagues,2020-05-25T16:32:47Z,4,235.0
leagues,2020-06-01T16:20:38Z,4,109.0
leagues,2020-06-08T16:20:35Z,4,127.0
leagues,2020-06-15T15:43:57Z,4,192.0
leagues,2020-06-22T15:37:30Z,4,66.0
leagues,2020-07-11T17:24:46Z,4,14.0
leagues,2020-07-22T16:06:42Z,4,50.0
