name,deleted,lastLearned,startedLearning,strength
IU: Phrases 01,False,2020-04-09 15:58:14,2019-02-03 14:45:10,0.39
My Ger-Fr Vocabulary vol.1,False,2020-03-02 15:18:18,2020-02-24 18:59:09,0.00
German Politics 2,False,2020-01-07 07:33:47,2019-02-09 07:39:15,0.40
German Politics 1,False,2020-02-17 16:47:50,2019-02-05 18:23:19,0.41
French Adjectives 1,False,2020-03-03 08:39:04,2020-02-24 18:49:08,0.00
IU: Vocab. 01,False,2020-07-23 16:10:16,2019-02-03 14:25:18,0.37
German Fantasy & Science Fiction,False,2020-01-07 07:24:37,2019-03-05 13:05:42,0.42
IU: Vocab. 3,False,2020-07-06 16:08:14,2019-05-13 18:11:40,0.36
German Adjectives: Nominative 1,False,2020-02-17 16:56:06,2019-03-28 16:23:46,0.43
German Abstract Objects 4,False,2020-02-20 09:08:51,2019-01-24 20:30:33,0.40
French Basics 1,False,2020-02-22 12:13:07,2020-02-17 17:20:12,0.00
German Science,False,2020-02-17 16:57:02,2019-04-02 12:50:14,0.44
French Food,False,2020-03-03 08:44:04,2020-02-19 18:04:47,0.00
German Business 2,False,2020-02-20 09:09:53,2019-02-02 14:20:33,0.44
German Arts,False,2020-02-17 16:50:35,2019-01-18 17:17:59,0.41
French Dates and time,False,2020-03-09 18:43:48,2020-03-09 18:40:24,0.00
German Education,False,2020-02-17 16:54:34,2019-04-13 05:50:09,0.44
Verben mit Präpositionen,False,2020-04-09 16:04:32,2019-04-19 09:26:02,0.52
German Business 1,False,2020-02-16 19:23:30,2019-04-28 10:39:06,0.39
French Verbs: Être / Avoir,False,2020-03-03 08:40:51,2020-02-24 18:52:41,0.00
German Abstract Objects 3,False,2020-06-25 16:00:30,2019-01-19 12:55:37,0.45
German Adverbs 2,False,2020-06-25 15:58:09,2019-01-14 17:45:29,0.52
German Verbs: Perfect 1,False,2019-05-04 07:50:51,2019-03-26 16:42:46,0.18
German Religion,False,2020-01-07 07:34:49,2019-03-05 13:09:46,0.40
IU: Vocab. 02,False,2020-07-23 16:13:17,2019-03-17 11:44:13,0.38
My Eng-Ger Vocabulary 1,False,2020-07-06 16:04:11,2019-01-11 16:10:21,0.36
German Occupation 2,False,2020-02-17 16:45:17,2019-05-01 13:30:26,0.46
My Eng-Ger Vocabulary 3,False,2020-07-06 16:00:36,2019-01-17 20:35:52,0.36
"128 ways to avoid ""very""",False,2019-01-30 19:17:53,2019-01-16 20:19:23,0.00
German Verbs: Present 4,False,2020-06-25 15:59:27,2019-02-12 18:56:32,0.52
German Spiritual,False,2020-02-16 19:24:32,2019-02-01 15:55:35,0.45
German Animals 2,False,2020-02-17 16:52:50,2019-03-12 10:32:45,0.42
German Abstract Objects 1,False,2020-02-20 09:13:34,2019-01-30 19:06:54,0.45
German Abstract Objects 2,False,2020-02-17 16:49:31,2019-01-17 07:12:03,0.41
UdGs,False,2020-03-31 20:05:59,2019-04-23 17:14:32,0.44
My Eng-Ger Vocabulary 2,False,2020-07-23 16:14:50,2019-01-12 18:42:07,0.38
German irregular verbs II,False,2019-05-13 18:19:51,2019-04-27 09:18:38,0.00
My Ger-Fr Phrases,False,2020-03-02 15:15:13,2020-02-22 12:19:18,0.00
German Adverbs 3,False,2020-01-07 07:29:01,2019-04-08 17:47:06,0.40
German Language,False,2020-02-20 09:14:29,2019-03-11 18:16:36,0.45
German Adverbs 4,False,2020-01-06 19:55:39,2019-02-07 06:54:39,0.41
German Verbs Reflexive,False,2019-01-16 20:31:05,2019-01-16 20:27:43,0.00
German Materials,False,2018-05-05 11:06:39,2018-05-05 11:06:39,0.00
My Eng-Ger Vocabulary 4,False,2020-07-06 16:05:50,2019-01-20 16:00:16,0.37
German Feelings,False,2020-02-17 16:51:25,2019-01-13 11:18:35,0.42
German Internet & Social Media,False,2020-02-17 16:53:39,2019-04-30 17:22:44,0.48
German Verbs Future 3,False,2020-02-16 19:25:37,2019-03-10 09:31:27,0.66
French Common Phrases,False,2020-03-09 18:38:19,2020-02-18 19:39:02,0.00
German Communication 2,False,2020-06-25 15:56:49,2019-01-15 21:07:42,0.51
Eng-Ger Vocab.: GeD.1,False,2020-07-06 16:02:46,2019-02-03 12:49:33,0.36
German irregular verbs,False,2019-05-13 18:15:59,2019-04-25 18:01:13,0.00
German The World,False,2019-03-05 13:03:49,2019-03-05 13:00:56,0.00
German Body 2,False,2020-06-25 15:55:48,2019-02-07 19:24:55,0.52
German Verbs: Present 3,False,2020-02-20 09:12:27,2019-03-10 09:33:19,0.44
