der Sessel	the armchair
der Vorschlag	the suggestion
lohnen	to be worth
sich erinnern	to recall
das Geräusch	the sound
der Klang	the ringing sound
der Lärm	the noise
der Pole	the Polish man
die Polin	the Polish woman
die Lesung	the reading
dort hin	towards there
der Zuhörer	the listener
der Zuschauer	the spectator
das Gedicht	the poem
die Schlacht	the battle
schlachten	to slaughter
die Klammern	the brackets
nördlich	northern
die Nordlichter	the Northern Lights
der Neffe	the nephew
die Nichte	the niece
aufwachen	to wake up
ausnehmen	to exempt
stecken bleiben	to get stuck
das Gebiet	the area
die Wiedervereinigung	the reunification
feucht	humid
nass	wet
der Niederschlag	the precipitation	as an object
der Schauer	the precipitation	as a process
der Hagel	the hail
der Frost	the frost
frostig	frosty
die Kälte	the cold
die Hitze	the heat
die Wärme	the warmth
ärgern	to annoy
der Ärger	the anger
Quatsch!	Nonsense!
die Verwandten	the relatives
der Sekt	the sparkling wine
aufhören	to stop
hören auf	to listen to
gehören	to belong
der Schalter	the counter
das Einzelzimmer	the single room
das Doppelzimmer	the double room
Geil!	Cool!
höflich	polite
der Bescheid	the notice
wiegen	to weigh
kleben	to glue
präzis	precisely
der Filzstift	the felt pen
der Bleistift	the pencil
der Kugelschreiber	the ballpoint pen
die Stofftiere	the stuffed animals
das Gummi	the rubber
das Kaugummi	the bubblegum
die Band	the band	musical
das Band	the ribbon
der Band	the volume
die Bande	the gang
lügen	to lie
der Lügner	the liar
schieben	to push
das Fach	the school subject
der Lichtschalter	the light switch
fleißig	diligent
faul	lazy
der Diriger	the orchestra conductor
der Komponist	the composer
der Turner	the gymnast
der Franzose	the Frenchman
die Französin	the French woman
der Spanier	the Spanish man
der Italiener	the Italian
der Ungar	the Hungarian
der Englander	the Englishman
das Getreide	the grain
der Weizen	the wheat
der Hafer	the oats
der Roggen	the rye
der Dinkel	the spelt
rülpsen	to burp
der Sauerstoff	the oxygen
der Kohlenstoff	the carbon
der Wasserstoff	the hydrogen
die Hälfte	the half
das Viertel	the quarter
das Drittel	the third
das Ganze	the whole
empfehlen	to recommend
das Ergebnis	the result
die Menge	the amount
häufig	frequent
der Durchschnitt	the average
durchschnittlich	on average
schneiden	to cut
ansonsten	besides that
der Oberbegriff	the generalization
der Griff	the handle
der Angriff	the attack
der Vegetarisch	the vegetarian
vermeiden	to avoid
die Gewohnheit	the habit
der Geldbeutel	the wallet
loben	to praise
der Wahnsinn	the madness
riechen	to smell
das Geruch	the smell
stinken	to stink
der Gestank	the stink
der Duft	the fragrance
der Gesichtsausdruck	the facial expression
herstellen	to produce
die Messe	the fair
sich kummern um	to care about
sinnvoll	meaningful
schrecklich	horrible
unterstützen	to support
der Rohstoff	the raw material
enttäuscht	disappointed
schwitzen	to sweat
der Schweiß	the sweat
das Date	the date
daten	to date
offensichtlich	obvious
offensichtlich	apparent
selbstverständlich	obvious
das Fremdschämen	the second hand embarassment
geduldig	patient
die Soße	the sauce
der gedeckte Tisch	the laid table
der Fehler	the mistake
fehlen	to be absent
vermissen	to miss
das Taschentuch	the handkerchief
ewig	forever
der Husten	the cough
der Schnupfen	the sniffles
vergleichen	to compare
die Flüssigkeit	the liquid
der Schrei	the cry
die Vereinigten Staaten	the United States
das Vereinigte Königreich	the United Kingdom
die Abkürzung	the abbreviation
der PKW	the car
die Kraft	the energy
der LKW	the truck
der Angestellte	the employee
die Angestellte	the employee
der Betrieb	the enterprise
schrecklich	terrible
