überlegen	to consider
klagen	to complain
frustrieren	to frustrate
das Hindernis	the obstacle
die Arbeitsbedingungen	the working conditions
hineinnehmen	to take in
ein Ziel setzen	to set a goal
die Suche	the search
die Überdosis	the overdose
ungefähr	approximately
erweitern	to extend
das Kreuzfahrtschiff	the cruiser ship
die Möwe	the seagull
die Fähre	the ferry
bald	soon
heruntergekommen	shabby
angenehm	pleasant
die Leidenschaft	the passion
die Sichtweise	the point of view
aussuchen	to choose
die Auflösung	the resolution
der Kommilitone	the co-student
die Kreuzung	the crossroads
die Fahrbahn	the lane
die Anzahl	the count
die Halbinsel	the peninsula
der militärische Marinestützpunkt	the military naval base
merkwürdig	strange
die Bedrohung	the threat
der Bürgerkrieg	the civil war
das Gebiet	the territory
der Herrscher	the ruler
beherrschen	to rule
die Charakterschwäche	the weakness of character
sich kümmern um	to care about
verhindern	to prevent
darstellen	to represent
das Möglichste	the most possible
der Verkehr	the traffic
die Besatzungszone	the occupation zone
verkrustet	encrusted
überwiegend	mostly
totgeschwiegen	hushed up
die Gesellschaft	the society
aufklären	to enlighten
die Forderung	the demand
die Benotung	the grading
der Kernreaktor	the nuclear reactor
die Forschung	the research
einschlagen	to pursue
nachvollziehen	to comprehend
die Verwüsstung	the devastation
die Schneise	the path
die Ursache	the root cause
austragen	to deal with
der Funke	the spark
zünden	to ignite
die Verwundung	the wound
die Anfrage	the request
die Zusammenfassung	the summary
das Leiden	the suffering
anschalten	to switch on
die Pest	the plague
die Leiche	the corpse
die Kettenreaktion	the chain reaction
hervorragend	outstanding
fehlen	to be missing
Bedingungsloses Grundeinkommen	unconditional basic income
die Sehnsucht	the longing
manche	some
die Entstehung	the emergence
der Schwerpunkt	the center of gravity
die Verteilung	the distribution
verlagern	to shift
umfassend	comprehensive
die Erhebung	the survey
einschüchtern	to intimidate
der Verdacht	the suspicion
eher	rather
mitunter	from time to time
das Bewusstsein	the awareness
die Abtreibung	the abortion
außerehelicher Sex	extramarital sex
bereichern	to enrich
streben	to strive
solch	such
der Verfechter	the advocate
nachlassen	to ease up
die Herausforderung	the challenge
das Drehbuch	the script
unterbrechen	to interrupt
die Frist	the deadline
verunreinigen	to contaminate
zwangsläufig	inevitable
betroffen sein	to be affected
die Denkweise	the mindset
die Verschiedenartigkeit	the diversity
zutreffen	to apply
typisch	typical
die Medien	the media
zischen	hissing
das Zischen	the hiss
die Ähnlichkeit	the similarity
wörtlich	literal
erwähnen	to mention
am nächsten	closest
beliebig	arbitrarily
die Matrix	the matrix
die Gleichung	the equation
eruieren	to elicit
unterscheiden	to distinguish
wahrnehmen	to perceive
der Begriff	the term
lediglich	merely
im Uhrzeigersinn	clockwise
gegen den Uhrzeigersinn	counter-clockwise
die Welle	the shaft
das Wechselgetriebe	the change gear
das neuronale Netzwerk	the neural network
das Impulserhaltungsgesetz	the impulse conservation law
das Drehmoment	the torque
die Kupplung	the coupling
die Kurve	the curve
beeinträchtigen	to impair
die Anwendungen	the applications
bremsen	to brake
die Bremse	the brake
die Beschleunigung	the acceleration
übertragen	to transmit
der Lenker	the handlebar
das Steuer	the steering wheel
die Trägheit	the inertia
durchlaufen	to pass through
fester Körper	solid body
leise	quiet
das Überhol	the overtake
das Manöver	the maneuver
beibehalten	to maintain
der Stall	the stable
eindeutig	definitely
die Auffassung	the point of view
missbrauchen	to abuse
der Verstoß	the violation
der Anwalt	the lawyer
der Verbraucher	the consumer
verzichten	to renounce
