die Belletristik	the fiction
auffallen	to attract attention
das einzige	the only
das Flugblatt	the flier
die Abmahnung	the written warning
sich wenden an	to address to
die Schikane	the chicanery
der Stellenmarkt	the job market
übrigens	by the way
entsprechen	to correspond
ahmen	to imitate
gelungen	successful
beweisen	to prove
renomiert	renowned
irreführend	misleading
der Einwanderer	the immigrant
passieren	to happen
verängstigt	frightened
vertiefen	to deepen
die Formel	the formula
raten	to guess
vermuten	to assume
der Umstand	the circumstance
die Synthese	the synthesis
ersetzen	to substitute
eingebunden	embedded
einzigartig	unique
außer	except
der Dolmetscher	the interpreter
die Geisteswissenschaften	the humanities
entziehen	to deprive
die Fabrik	the factory
zwingen	to force
unterordnen	to subordinate
der Beitrag	the contribution
anschließend	afterwards
Mailand	Milan
die Übelkeit	the nausea
ohnmächtig werden	to faint
die Anlage	the plant
der Antrieb	the motivation
der Gewinn	the profit
die Mülltrennung	the waste separation
die Anpassung	the adaptation
die Wertschätzung	the appreciation
ansteckend	contagious
einfallsreich	creative
der Einfall	the idea
stürzen	to fall
das Fossil	the fossil
sicherstellen	to ensure
der Ortansässige	the local
die Fee	the fairy
sich sehnen	to yearn
krümmen	to bend
umkehrbar	reversible
anspruchsvoll	challenging
simulieren	to simulate
vorhersehbar	predictable
widerlegen	to disprove
das Loch	the hole
meilenweit	for miles and miles
geeignet	appropriate
gelegentlich	occasionally
gelten	to be valid
aufgeregt	nervous
verfügen	to possess
sich gelten als	to consider oneself
zuverlässig	reliable
bestechen	to bribe
sonnig	sunny
die Nachfrage	the demand
misslich	awkward
der Wohlstand	the prosperity
gleichsetzen	to equalize
heiter	cheerful
angeboren	inborn
die Schlankheit	the skinniness
die Kur	the cure
der Querschnitt	the cross section
insgesamt	overall
die Scheidung	the divorce
berücksichtigen	to take into account
unhaltbar	insustainable
das Wertesystem	the value system
die Unabhängigkeitserklärung	the Declaration of independence
proklamieren	to proclaim
offensichtlich	apparently
die Hungersnot	the famine
die Stimmung	the mood
berichtigen	to fix
korrigieren	to correct
aufnehmen	to record
die Aufnahme	the record
jemanden besiegen	to win somebody
der Stau	the traffic jam
durchquerren	to transit
der Durchmesser	the diameter
der Radius	the radius
der Umfang	the perimeter
verstreut	widespread
der Ablauf	the course
plündern	to loot
die Vererbung	the inheritance
die Prägung	the embossment
entlasten	to relieve
der Einklang	the unison
die Belastung	the load
die Ausdauer	the endurance
die Aberglaube	the superstition
die Schneiderei	the tailor shop
die Fertigkeit	the skill
neigen zu	to tend to
entspannt	relaxed
ausgeschaltet	switched off
ausbeuterisch	exploitary
pro-Kopf Bruttoinlandsprodukt	Gross Domestic Product per capita
der Vorgesetzte	the superior
das Versagen	the failure
grübeln über	to brood over
beurteilen	to judge
die Unwissenheit	the ignorance
ungeschickt	awkward
das Zugeständnis	the concession
zurückweisen	to reject
geraten in	to get into
verstrickt sein	to be involved
der Wurm	the worm
das Nest	the nest
die Trauer	the mourning
heucheln	to cant
vortäuschen	to pretend
das Mitgefühl	the sympathy
die Träne	the tear
wesentlich	essential
enger	narrow
Griechenland	Greece
der Fels	the rock
das Scheitern	the failure
die Errungenschaft	the accomplishment
