capable of this	dazu fähig
The land is rich in mineral resources.	Das Land ist reich an Bodenschätzen.
happy about the price	über den Preis glücklich
unexperienced in business	unerfahren um Geschäft
loved by her	geliebt von ihr
popular with young audiences	beim jungen Publikum beliebt
He is not to blame for this accident.	Er ist in diesem Unfall nicht schuld.
surprised by your behaviour	über dein Verhalten verwundert
crazy about sports	verrückt nach Sport
sensitive to sweets	empfindlich auf Süßes
not suitable for the position	für die Stelle nicht geeignet
Friedrich was so reserved to us.	Friedrich war uns gegenüber so zurückhaltend.
She is interested only in his money.	Sie ist nur an seinem Geld interessiert.
to complain about the service	sich über den Service beschweren
He doubts in it.	Er zweifelt daran.
to take part in it	daran teilnehmen
to prepare for it	sich darauf vorbereiten
sich sehnen nach	to long for
